"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"geom:Body_Identification_Base:1      ","Class","Body_Identification_Base","1.0.0.0","geom","The Body_Identification_Base class provides multiple attributes that can be used to identify a physical object (spacecraft, planet instrument, transmitter, system barycenter, etc.). At least one must be used. ","geo","","","","","","","","","","",""
"geom:Body_Identification_Base:2       geom:body_spice_name:1               ","Attribute","body_spice_name","n/a","geom","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Body_Identification_Base:2       pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Frame_Identification_Base:1     ","Class","Frame_Identification_Base","1.0.0.0","geom","The Frame_Identification_Base class provides multiple attributes that can be used to identify a reference frame. At least one must be used. ","geo","","","","","","","","","","",""
"geom:Frame_Identification_Base:2      geom:frame_spice_name:1              ","Attribute","frame_spice_name","n/a","geom","The frame_spice_name attribute is a NAIF-recognized string identifier for a reference frame associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Frame_Identification_Base:2      pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Frame_Identification_Base:2      pds:comment:1                       ","Attribute","comment","n/a","pds","The comment attribute is a character string expressing one or more remarks or thoughts relevant to the object.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Central_Body_Identification:1   ","Class","Central_Body_Identification","1.0.0.0","geom","The Central_Body_Identification class uniquely identifies the body that is the central body associated with an observation (e.g., Saturn for Saturn system observations). ","geo","","","","","","","","","","",""
"geom:Central_Body_Identification:2    geom:body_spice_name:1               ","Attribute","body_spice_name","n/a","geom","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Central_Body_Identification:2    pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Coordinate_System_Origin_Identification:1","Class","Coordinate_System_Origin_Identification","1.0.0.0","geom","The Coordinate_System_Origin_Identification class uniquely identifies the "body" that is the origin of a coordinate system. Typically body centered coordinate systems place the origin at the center of mass of the body. In addition to physical bodies, the origin may be defined at a point in space such as a system barycenter. Note that the origin of coordinate system does not necessarily correspond to either end point of a vector. ","geo","","","","","","","","","","",""
"geom:Coordinate_System_Origin_Identification:2 geom:body_spice_name:1               ","Attribute","body_spice_name","n/a","geom","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_System_Origin_Identification:2 pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Observer_Identification:1       ","Class","Observer_Identification","1.0.0.0","geom","Within the Geometry dictionary context, an "Observer" is the body on the "from" end of a vector, or other translation through space. ","geo","","","","","","","","","","",""
"geom:Observer_Identification:2        geom:body_spice_name:1               ","Attribute","body_spice_name","n/a","geom","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Observer_Identification:2        pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Reference_Frame_Identification:1","Class","Reference_Frame_Identification","1.0.0.0","geom","The Reference_Frame_Identification class is a base class for identifying reference frames. These are frames in the NAIF sense, i.e., three orthogonal axes with a specified orientation, but without a fixed origin. ","geo","","","","","","","","","","",""
"geom:Reference_Frame_Identification:2 geom:frame_spice_name:1              ","Attribute","frame_spice_name","n/a","geom","The frame_spice_name attribute is a NAIF-recognized string identifier for a reference frame associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Reference_Frame_Identification:2 pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Reference_Frame_Identification:2 pds:comment:1                       ","Attribute","comment","n/a","pds","The comment attribute is a character string expressing one or more remarks or thoughts relevant to the object.","pds","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Geometry_Target_Identification:1","Class","Geometry_Target_Identification","1.0.0.0","geom","The object to which the associated set of geometric parameters are given. Within the Geometry dictionary context, a "Target" is the body on the "to" end of a vector, or other translation through space. ","geo","","","","","","","","","","",""
"geom:Geometry_Target_Identification:2 geom:body_spice_name:1               ","Attribute","body_spice_name","n/a","geom","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Geometry_Target_Identification:2 pds:name:1                          ","Attribute","name","n/a","pds","The name attribute provides a word or combination of words by which the object is known.","pds","UTF8_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","TBD_dataConcept"
"geom:Coordinate_Space_Index:1        ","Class","Coordinate_Space_Index","1.0.0.0","geom","Identifies a coordinate space using an index value given in an identified list. ","geo","","","","","","","","","","",""
"geom:Coordinate_Space_Index:2         geom:index_value_number:1            ","Attribute","index_value_number","n/a","geom","The index_value_number attribute provides the value with no applicable units as named by the associated index_id or index_name. ","geo","ASCII_Real","0","*","-1.7976931348623157e308","1.7976931348623157e308","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","REAL"
"geom:Coordinate_Space_Index:2         geom:index_sequence_number:1         ","Attribute","index_sequence_number","n/a","geom","The index_sequence_number attribute supplies the sequence identifier for the associated value in a group of related values. ","geo","ASCII_Short_String_Collapsed","1","3","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_Index:2         geom:index_name:1                    ","Attribute","index_name","n/a","geom","The index_name attribute supplies the formal name for the associated value in a group of related values. ","geo","ASCII_Short_String_Collapsed","1","3","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_Index:2         geom:index_id:1                      ","Attribute","index_id","n/a","geom","The index_id attribute supplies a short name (identifier) for the associated value in a group of related values. ","geo","ASCII_Short_String_Collapsed","1","3","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_SPICE:1        ","Class","Coordinate_Space_SPICE","1.0.0.0","geom","Identifies a coordinate space using SPICE names for the frame and origin.","geo","","","","","","","","","","",""
"geom:Coordinate_Space_SPICE:2         geom:body_spice_name:1               ","Attribute","body_spice_name","n/a","geom","The body_spice_name attribute is a NAIF-recognized string identifier for a physical object (spacecraft, planet, instrument transmitter, system barycenter, etc.), associated with the data. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_SPICE:2         geom:frame_spice_name:1              ","Attribute","frame_spice_name","n/a","geom","The frame_spice_name attribute is a NAIF-recognized string identifier for a reference frame associated with the data. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_Indexed:1      ","Class","Coordinate_Space_Indexed","1.0.0.0","geom","The Coordinate_Space_Indexed class contains the attributes and classes identifying the indexed coordinate space. ","geo","","","","","","","","","","",""
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:1   ","Attribute","coordinate_space_frame_type","n/a","geom","The coordinate_space_frame_type attribute identifies the type of frame being described, such as SITE, LOCAL_LEVEL, LANDER, ROVER, ARM, etc. When combined with Coordinate_Space_Index and the optional solution_id in the Coordinate_Space_Indexed class, this serves to fully name an instance of a coordinate space. ","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:AEGIS_1","Value","AEGIS_1","","","AEGIS target number 1. AEGIS is a component of rover software that selects targets for further investigation based on user defined parameters."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:AEGIS_2","Value","AEGIS_2","","","AEGIS target number 2. AEGIS is a component of rover software that selects targets for further investigation based on user defined parameters."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:AEGIS_3","Value","AEGIS_3","","","AEGIS target number 3. AEGIS is a component of rover software that selects targets for further investigation based on user defined parameters."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:AEGIS_4","Value","AEGIS_4","","","AEGIS target number 4. AEGIS is a component of rover software that selects targets for further investigation based on user defined parameters."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:AEGIS_5","Value","AEGIS_5","","","AEGIS target number 5. AEGIS is a component of rover software that selects targets for further investigation based on user defined parameters."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:APXS_Frame","Value","APXS_Frame","","","Frame defining the APXS instrument on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_CUSTOM_TCP_FRAME","Value","ARM_CUSTOM_TCP_FRAME","","","Frame describing a user-defined Tool Control Point for a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_DOCKING_POST_FRA","Value","ARM_DOCKING_POST_FRAME","","","Frame describing the docking post on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_DRILL_FRAME","Value","ARM_DRILL_FRAME","","","Frame describing the drill on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_DRT_FRAME","Value","ARM_DRT_FRAME","","","Frame describing the Dust Removal Tool on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_FCS_FRAME","Value","ARM_FCS_FRAME","","","Frame describing the FCS (Facility Contact Switch) device on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_FRAME","Value","ARM_FRAME","","","Frame describing a defined portion of a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_GDRT_FRAME","Value","ARM_GDRT_FRAME","","","Frame describing the GDRT (Gaseous Dust Removal Tool) device on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_MAHLI_FRAME","Value","ARM_MAHLI_FRAME","","","Frame describing the MAHLI instrument on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_PIXL_FRAME","Value","ARM_PIXL_FRAME","","","Frame describing the PIXL instrument on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_PORTION_FRAME","Value","ARM_PORTION_FRAME","","","Frame describing the sample portioner device on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_SCOOP_TCP_FRAME","Value","ARM_SCOOP_TCP_FRAME","","","Frame describing the Tool Control Point for the scoop on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_SCOOP_TIP_FRAME","Value","ARM_SCOOP_TIP_FRAME","","","Frame describing the tip of a scoop on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_SHERLOC_FRAME","Value","ARM_SHERLOC_FRAME","","","Frame describing the SHERLOC instrument on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_TURRET_FRAME","Value","ARM_TURRET_FRAME","","","Frame describing the turret on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:ARM_WATSON_FRAME","Value","ARM_WATSON_FRAME","","","Frame describing the Watson instrument component on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_Custom_TCP_Frame","Value","Arm_Custom_TCP_Frame","","","Frame describing a user-defined Tool Control Point for a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_DRT_Frame","Value","Arm_DRT_Frame","","","Frame describing the Dust Removal Tool on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_Docking_Post_Fra","Value","Arm_Docking_Post_Frame","","","Frame describing the docking post on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_Drill_Frame","Value","Arm_Drill_Frame","","","Frame describing the drill on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_FCS_Frame","Value","Arm_FCS_Frame","","","Frame describing the FCS (Facility Contact Switch) device on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_Frame","Value","Arm_Frame","","","Frame describing a defined portion of a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_GDRT_Frame","Value","Arm_GDRT_Frame","","","Frame describing the GDRT (Gaseous Dust Removal Tool) device on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_MAHLI_Frame","Value","Arm_MAHLI_Frame","","","Frame describing the MAHLI instrument on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_PIXL_Frame","Value","Arm_PIXL_Frame","","","Frame describing the PIXL instrument on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_Portion_Frame","Value","Arm_Portion_Frame","","","Frame describing the sample portioner device on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_SHERLOC_Frame","Value","Arm_SHERLOC_Frame","","","Frame describing the SHERLOC instrument on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_Scoop_TCP_Frame","Value","Arm_Scoop_TCP_Frame","","","Frame describing the Tool Control Point for the scoop on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_Scoop_TIP_Frame","Value","Arm_Scoop_TIP_Frame","","","Frame describing the tip of a scoop on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_Turret_Frame","Value","Arm_Turret_Frame","","","Frame describing the turret on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Arm_WATSON_Frame","Value","Arm_WATSON_Frame","","","Frame describing the Watson instrument component on a movable arm."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:CINT_FRAME","Value","CINT_FRAME","","","Frame describing the LVS camera during descent."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:CINT_Frame","Value","CINT_Frame","","","Frame describing the LVS camera during descent."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:DRILL_BIT_TIP","Value","DRILL_BIT_TIP","","","Frame centered on the tip of the drill."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:HELI_G_FRAME","Value","HELI_G_FRAME","","","Helicopter frame defined attached to the ground at takeoff."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:HELI_M_FRAME","Value","HELI_M_FRAME","","","Helicopter frame roughly analogous to ROVER_MECH_FRAME."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:HELI_S1_FRAME","Value","HELI_S1_FRAME","","","Helicopter frame roughly analogous to ROVER_NAV_FRAME defined for IMU #1."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:HELI_S2_FRAME","Value","HELI_S2_FRAME","","","Helicopter frame roughly analogous to ROVER_NAV_FRAME defined for IMU #2."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Heli_G_Frame","Value","Heli_G_Frame","","","Helicopter frame defined attached to the ground at takeoff."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Heli_M_Frame","Value","Heli_M_Frame","","","Helicopter frame roughly analogous to ROVER_MECH_FRAME."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Heli_S1_Frame","Value","Heli_S1_Frame","","","Helicopter frame roughly analogous to ROVER_NAV_FRAME defined for IMU #1."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Heli_S2_Frame","Value","Heli_S2_Frame","","","Helicopter frame roughly analogous to ROVER_NAV_FRAME defined for IMU #2."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:LANDER_FRAME","Value","LANDER_FRAME","","","Analogous to ROVER_NAV_FRAME for non-mobile missions."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:LOCAL_LEVEL_FRAME","Value","LOCAL_LEVEL_FRAME","","","Frame coincident with ROVER_NAV/LANDER_FRAME that is oriented according to cartographic directions and gravity."
"geom:Coordinate_Space_Indexed:2       geom:coordinate_space_frame_type:2    Value:Lander_Frame","Value","Lander_Frame","","","Analogous to ROVER_NAV_FRAME for non-mobile missions."
