"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"cart:Cartography:1                   ","Class","Cartography","1.0.0.0","cart","The Cartography class provides a description of how a 3D sphere, spheroid, elliptical spheroid, the celestial sphere, in-situ location, or planetary rings are mapped onto a Cartesian, local, or geographic plane. ","img","","","","","","","","","","",""
"cart:Spatial_Domain:1                ","Class","Spatial_Domain","1.0.0.0","cart","The Spatial_Domain class describes the geographic areal domain of the data set. This is the primary domain for the defined data. Both west and east coordinates can be defined within this class. A secondary spatial domain class has also been created, if there is a need to provide bounding coordinates historically used for a body (e.g., west longitude). ","img","","","","","","","","","","",""
"cart:Secondary_Spatial_Domain:1      ","Class","Secondary_Spatial_Domain","1.0.0.0","cart","The Secondary_Spatial_Domain class describes an alternative longitude and latitude bounds to better support IAU approved or historically used geographic areal coordinates. This is only needed if the Spatial_Domain does not meet IAU recommendations or historical uses for the body. ","img","","","","","","","","","","",""
"cart:Secondary_Spatial_Domain:2       cart:longitude_direction:1           ","Attribute","longitude_direction","n/a","cart","The longitude_direction attribute identifies the direction of longitude (e.g. Positive East or Positive West) for a planet. The IAU definition for direction of positive longitude should be adopted: http://astrogeology.usgs.gov/groups/IAU-WGCCRE. Typically, for planets with prograde (direct) rotations, positive longitude direction is to the west. For planets with retrograde rotations, positive longitude direction is to the east. Generally the Positive West longitude_direction is used for planetographic systems and Positive East is used for planetocentric systems. If the data is defined with Spatial_Domain in a manner not recommended by the IAU, there is a optional Secondary_Spatial_Domain section to define a second set of bounding coordinates such that both Positive East and Positive West bounding coordinates can be provided.","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cart:Secondary_Spatial_Domain:2       cart:longitude_direction:2            Value:Positive East","Value","Positive East","","","Positive East longitudes (i.e., longitudes measured positively to the east) will be used when the body's rotation is retrograde. Because of tradition, the Earth, Sun, and Moon do not conform with this definition. Their rotations are direct and longitudes run both east and west 180 degree, or east 360 degree."
"cart:Secondary_Spatial_Domain:2       cart:longitude_direction:2            Value:Positive West","Value","Positive West","","","Positive West longitudes (i.e., longitudes measured positively to the west) will be used when the rotation is prograde (direct). "
"cart:Secondary_Spatial_Domain:2       cart:latitude_type:1                 ","Attribute","latitude_type","n/a","cart","The latitude_type attribute defines the type of latitude (planetographic, planetocentric) used within a cartographic product and as reflected in attribute values within associated PDS labels. For planets and satellites, latitude is measured north and south of the equator; north latitudes are designated as positive. The planetocentric latitude is the angle between the equatorial plane and a line from the center of the body. The planetographic latitude is the angle between the equatorial plane and a line that is normal to the body. In summary, both latitudes are equivalent on a sphere (i.e., equatorial radius equal to polar radius); however, they differ on an ellipsoid (e.g., Mars, Earth). For more on latitude_type, please see the IAU publication available here: http://astrogeology.usgs.gov/groups/IAU-WGCCRE ","img","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"cart:Secondary_Spatial_Domain:2       cart:latitude_type:2                  Value:Planetocentric","Value","Planetocentric","","","The planetocentric latitude is the angle between the equatorial plane and a line from the center of the body. "
"cart:Secondary_Spatial_Domain:2       cart:latitude_type:2                  Value:Planetographic","Value","Planetographic","","","The planetographic latitude is the angle between the equatorial plane and a line that is normal to the body. "
"cart:Spatial_Reference_Information:1 ","Class","Spatial_Reference_Information","1.0.0.0","cart","The Spatial_Reference_Information class provides a description of the reference frame for, and the means to encode, coordinates in a data set. ","img","","","","","","","","","","",""
"cart:Bounding_Coordinates:1          ","Class","Bounding_Coordinates","1.0.0.0","cart","The Bounding_Coordinates class defines the limits of coverage of a set of data expressed by latitude and longitude values in the order western-most, eastern-most, northern-most, and southern-most. ","img","","","","","","","","","","",""
"cart:Bounding_Coordinates:2           cart:west_bounding_coordinate:1      ","Attribute","west_bounding_coordinate","n/a","cart","The west_bounding_coordinate attribute provides the western-most coordinate of the limit of coverage expressed in longitude.","img","ASCII_Real","1","1","-180.0","360.0","Unbounded","Unbounded","Units_of_Angle","none","TBD_classConcept","REAL"
